word,level,pos
abandon,b2,verb
ability,a2,noun
able,a2,adjective
about,a1,adverb
above,a1,adverb
abroad,a2,adverb
absolute,b2,adjective
absolutely,b1,adverb
academic,b1,adjective
academic,b2,noun
accept,a2,verb
acceptable,b2,adjective
access,b1,verb
accident,a2,noun
accommodation,b1,noun
accompany,b2,verb
account,b1,noun
account,b2,verb
accurate,b2,adjective
accuse,b2,verb
achieve,a2,verb
achievement,b1,noun
acknowledge,b2,verb
acquire,b2,verb
across,a1,adverb
act,b1,noun
act,a2,verb
action,a1,noun
active,a2,adjective
activity,a1,noun
actor,a1,noun
actress,a1,noun
actual,b2,adjective
actually,a2,adverb
ad,b1,noun
adapt,b2,verb
add,a1,verb
addition,b1,noun
additional,b2,adjective
address,a1,noun
address,b2,verb
administration,b2,noun
admire,b1,verb
admit,b1,verb
adopt,b2,verb
adult,a2,adjective
adult,a1,noun
advance,b2,adjective
advance,b2,noun
advance,b2,verb
advanced,b1,adjective
advantage,a2,noun
adventure,a2,noun
advertise,a2,verb
advertisement,a2,noun
advertising,a2,noun
advice,a1,noun
advise,b1,verb
affair,b2,noun
affect,a2,verb
afford,b1,verb
afraid,a1,adjective
after,a2,adverb
afternoon,a1,noun
afterwards,b2,adverb
again,a1,adverb
age,a1,noun
age,b1,verb
aged,b1,adjective
agency,b2,noun
agenda,b2,noun
agent,b1,noun
aggressive,b2,adjective
ago,a1,adverb
agree,a1,verb
agreement,b1,noun
ahead,b1,adverb
aid,b2,noun
aid,b2,verb
aim,b1,noun
aim,b1,verb
air,a1,noun
aircraft,b2,noun
airline,a2,noun
airport,a1,noun
alarm,b1,noun
alarm,b2,verb
album,b1,noun
alcohol,b1,noun
alcoholic,b1,adjective
alive,a2,adjective
all,a2,adverb
all right,a2,adjective
all right,a2,adverb
allow,a2,verb
almost,a2,adverb
alone,a2,adjective
alone,a2,adverb
along,a2,adverb
already,a2,adverb
also,a1,adverb
alter,b2,verb
alternative,b1,adjective
alternative,a2,noun
always,a1,adverb
amazed,b1,adjective
amazing,a1,adjective
ambition,b1,noun
ambitious,b1,adjective
amount,a2,noun
amount,b2,verb
analyse,b1,verb
analysis,b1,noun
ancient,a2,adjective
anger,b2,noun
angle,b2,noun
angry,a1,adjective
animal,a1,noun
ankle,a2,noun
anniversary,b2,noun
announce,b1,verb
announcement,b1,noun
annoy,b1,verb
annoyed,b1,adjective
annoying,b1,adjective
annual,b2,adjective
answer,a1,noun
answer,a1,verb
anxious,b2,adjective
any,a2,adverb
any more,a2,adverb
anyway,a2,adverb
anywhere,a2,adverb
apart,b1,adverb
apartment,a1,noun
apologize,b1,verb
app,a2,noun
apparent,b2,adjective
apparently,b2,adverb
appeal,b2,noun
appeal,b2,verb
appear,a2,verb
appearance,a2,noun
apple,a1,noun
application,b1,noun
apply,a2,verb
appointment,b1,noun
appreciate,b1,verb
approach,b2,noun
approach,b2,verb
appropriate,b2,adjective
approval,b2,noun
approve,b2,verb
approximately,b1,adverb
april,a1,noun
architect,a2,noun
architecture,a2,noun
area,a1,noun
argue,a2,verb
argument,a2,noun
arise,b2,verb
arm,a1,noun
armed,b2,adjective
arms,b2,noun
army,a2,noun
around,a1,adverb
arrange,a2,verb
arrangement,a2,noun
arrest,b1,noun
arrest,b1,verb
arrival,b1,noun
arrive,a1,verb
art,a1,noun
article,a1,noun
artificial,b2,adjective
artist,a1,noun
artistic,b2,adjective
as,a2,adverb
ashamed,b2,adjective
ask,a1,verb
asleep,a2,adjective
aspect,b2,noun
assess,b2,verb
assessment,b2,noun
assignment,b1,noun
assist,b1,verb
assistant,a2,adjective
assistant,a2,noun
associate,b2,verb
associated,b2,adjective
association,b2,noun
assume,b2,verb
athlete,a2,noun
atmosphere,b1,noun
attach,b1,verb
attack,a2,noun
attack,a2,verb
attempt,b2,noun
attempt,b2,verb
attend,a2,verb
attention,a2,noun
attitude,b1,noun
attract,b1,verb
attraction,b1,noun
attractive,a2,adjective
audience,a2,noun
august,a1,noun
aunt,a1,noun
author,a2,noun
authority,b1,noun
autumn,a1,noun
available,a2,adjective
average,a2,adjective
average,a2,noun
average,b1,verb
avoid,a2,verb
award,a2,noun
award,b1,verb
aware,b1,adjective
away,a1,adverb
awful,a2,adjective
baby,a1,noun
back,a2,adjective
back,a1,adverb
back,a1,noun
back,b2,verb
background,a2,noun
backwards,b1,adverb
bacteria,b2,noun
bad,a1,adjective
badly,a2,adverb
bag,a1,noun
bake,b1,verb
balance,b1,noun
balance,b1,verb
ball,a1,noun
ban,b1,noun
ban,b1,verb
banana,a1,noun
band,a1,noun
bank,a1,noun
bar,a2,noun
bar,b2,verb
barrier,b2,noun
base,b1,noun
base,b1,verb
baseball,a2,noun
based,a2,adjective
basic,b1,adjective
basically,b2,adverb
basis,b1,noun
basketball,a2,noun
bath,a1,noun
bathroom,a1,noun
battery,b1,noun
battle,b1,noun
